rank,track,Artist,num_of_streams
1,ROCKSTAR (feat. Roddy Ricch), DaBaby,"1,545,907"
2,Party Girl, StaySolidRocky,"1,131,658"
3,Blinding Lights, The Weeknd,"1,019,508"
4,Blueberry Faygo, Lil Mosey,"999,419"
5,Watermelon Sugar, Harry Styles,"901,907"
6,THE SCOTTS, THE SCOTTS,"878,431"
7,Snow On Tha Bluff, J. Cole,"845,168"
8,The Box, Roddy Ricch,"831,991"
9,WHATS POPPIN, Jack Harlow,"813,694"
10,Toosie Slide, Drake,"806,053"
11,The Bigger Picture, Lil Baby,"803,248"
12,Savage Remix (feat. Beyoncé), Megan Thee Stallion,"789,781"
13,Rain On Me (with Ariana Grande), Lady Gaga,"757,428"
14,Roses - Imanbek Remix, SAINt JHN,"756,635"
15,Tommy Lee (feat. Post Malone), Tyla Yaweh,"677,986"
16,After Party, Don Toliver,"669,996"
17,Sunday Best, Surfaces,"651,027"
18,Walk Em Down (feat. Roddy Ricch), NLE Choppa,"642,726"
19,death bed (coffee for your head) (feat. beabadoobee), Powfu,"641,844"
20,Intentions (feat. Quavo), Justin Bieber,"636,192"
21,GO (feat. Juice WRLD), The Kid LAROI,"606,278"
22,Circles, Post Malone,"571,291"
23,Life Is Good (feat. Drake), Future,"562,744"
24,Chicago Freestyle (feat. Giveon), Drake,"547,996"
25,Bleed, A Boogie Wit da Hoodie,"546,147"
26,Don't Start Now, Dua Lipa,"541,230"
27,GOOBA, 6ix9ine,"539,980"
28,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone,"536,316"
29,ROXANNE, Arizona Zervas,"522,381"
30,Break My Heart, Dua Lipa,"515,918"
31,Supalonely, BENEE,"507,599"
32,Savage Love (Laxed - Siren Beat), Jawsh 685,"505,216"
33,Stuck with U (with Justin Bieber), Ariana Grande,"500,886"
34,Flex (feat. Juice WRLD), Polo G,"499,739"
35,Falling, Trevor Daniel,"497,274"
36,Fútbol & Rumba (feat. Enrique Iglesias), Anuel AA,"496,935"
37,Adore You, Harry Styles,"493,676"
38,TROLLZ (with Nicki Minaj), 6ix9ine,"493,651"
39,DOLLAZ ON MY HEAD (feat. Young Thug), Gunna,"487,103"
40,Righteous, Juice WRLD,"476,946"
